PLZ,Ort,Bundesland,gültig ab,gültig bis,NamePLZTyp,intern_extern,adressierbar,Postfach
1000,Wien,W,01.08.2009,,PLZ-Postfach,extern,Nein,Ja
1004,Wien,W,01.01.1966,,InteressentenPLZ,extern,Nein,Ja
1006,Wien,W,01.02.2015,,PLZ-Postfach,extern,Nein,Ja
1010,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1011,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1013,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1015,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1016,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1017,Wien-Parlament,W,22.04.2015,,InteressentenPLZ,extern,Nein,Ja
1018,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1020,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1021,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1022,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1023,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1024,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1025,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1026,Wien,W,01.01.2012,,PLZ-Postfach,extern,Nein,Ja
1027,Wien,W,01.09.2013,,PLZ-Postfach,extern,Nein,Ja
1029,Wien,W,30.07.2004,,InteressentenPLZ,extern,Nein,Ja
1030,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1031,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1032,Wien,W,22.08.2012,,PLZ-Postfach,extern,Nein,Ja
1033,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1034,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1035,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1037,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1038,Wien,W,01.01.1966,,InteressentenPLZ,extern,Nein,Ja
1039,Wien,W,01.08.2005,,InteressentenPLZ,extern,Nein,Ja
1040,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1041,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1042,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1043,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1045,Wien,W,01.01.1966,,InteressentenPLZ,extern,Nein,Ja
1046,Wien,W,01.10.2010,,PLZ-Postfach,extern,Nein,Ja
1047,Wien,W,01.10.2011,,PLZ-Postfach,extern,Nein,Ja
1050,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1051,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1052,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1053,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1054,Wien,W,01.05.2011,,PLZ-Postfach,extern,Nein,Ja
1060,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1061,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1062,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1063,Wien-VÖPh,W,01.01.1966,,InteressentenPLZ,extern,Nein,Ja
1064,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1065,Wien,W,01.09.2012,,PLZ-Postfach,extern,Nein,Ja
1070,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
1071,Wien Postfach,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1072,Wien,W,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
1075,Wien,W,01.09.2012,,PLZ-Postfach,extern,Nein,Ja
1080,Wien,W,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
